OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PATHFINDER 1,2016-059E,2026-07-14T22:51:27.463680,14.67693013,.0029801,97.8177,193.9768,116.4385,243.9883,0,U,41787,999,52378,.56631E-4,.278E-5,0
SCATSAT 1,2016-059H,2026-07-15T03:27:28.738368,14.79587238,.0055208,98.1178,260.1971,156.7170,203.6560,0,U,41790,999,10572,.9382E-4,.664E-5,0
GOKTURK 1A,2016-073A,2026-07-15T03:42:18.509760,14.62794262,.0001417,98.1221,90.3867,79.9716,280.1645,0,U,41875,999,51291,.11007E-3,.515E-5,0
RESOURCESAT-2A,2016-074A,2026-07-15T03:40:51.957696,14.21607962,.0002392,98.7528,269.4277,29.1640,330.9670,0,U,41877,999,49827,-.80972E-4,-.222E-5,0
CARTOSAT-2D,2017-008A,2026-07-15T03:36:46.218816,15.19286662,.0006022,97.4098,254.9315,138.7095,221.4596,0,U,41948,999,52182,.14428E-3,.2977E-4,0
SENTINEL-2B,2017-013A,2026-07-15T04:18:31.907808,14.30815121,.0001197,98.5692,270.5576,91.0425,269.0895,0,U,42063,999,48864,.32532E-4,.42E-6,0
CARTOSAT-2E,2017-036C,2026-07-15T04:02:21.310944,15.19256188,.0003251,97.4265,255.5073,189.5396,170.5777,0,U,42767,999,50239,.14952E-3,.3084E-4,0
FORMOSAT-5,2017-049A,2026-07-15T04:33:20.822112,14.50907828,.0011341,98.2246,270.8764,3.8512,356.2768,0,U,42920,999,47073,.21928E-4,.43E-6,0
SENTINEL-5P,2017-064A,2026-07-14T19:58:34.978656,14.19523253,.00011291,98.7929,137.7679,93.1727,266.9578,0,U,42969,999,45348,.2002461E-4,-.2E-7,0
SKYSAT-C11,2017-068A,2026-07-14T23:38:29.969376,15.59315544,.0001121,97.4376,346.0599,159.0232,201.1070,0,U,42987,999,48757,.22641E-3,.17721E-3,0
SKYSAT-C10,2017-068B,2026-07-14T22:25:48.467136,15.35113231,.0001434,97.4538,333.0656,108.1466,251.9934,0,U,42988,999,48661,.18097E-3,.6084E-4,0
SKYSAT-C9,2017-068C,2026-07-14T21:14:41.185824,15.42209004,.0008692,97.4457,334.2191,45.8055,314.3904,0,U,42989,999,48702,.17532E-3,.7445E-4,0
SKYSAT-C8,2017-068D,2026-07-14T22:16:50.913984,15.37487916,.000123,97.4553,332.9660,103.7859,256.3522,0,U,42990,999,48657,.16522E-3,.599E-4,0
SKYSAT-C7,2017-068E,2026-07-14T22:08:53.571264,15.37438463,.0005758,97.4566,333.9519,22.1951,337.9541,0,U,42991,999,48663,.16211E-3,.5868E-4,0
SKYSAT-C6,2017-068F,2026-07-14T22:22:15.649248,15.34166717,.0005128,97.4603,333.8162,90.1759,270.0071,0,U,42992,999,48657,.15855E-3,.5163E-4,0
CARTOSAT-2F,2018-004A,2026-07-15T04:49:13.516896,15.19271029,.0002775,97.4776,255.5599,135.4284,224.7174,0,U,43111,999,47158,.11884E-3,.2437E-4,0
GAOFEN-1 02,2018-031A,2026-07-15T05:16:57.929088,14.76473268,.0001496,98.0520,258.6667,286.3324,73.7721,0,U,43259,999,44683,.10175E-3,.657E-5,0
GAOFEN-1 03,2018-031B,2026-07-15T04:45:25.698240,14.76462537,.0002407,98.0503,258.5002,15.6525,344.4759,0,U,43260,999,44682,.5634E-4,.34E-5,0
GAOFEN-1 04,2018-031D,2026-07-15T04:10:26.413248,14.76470180,.0001279,98.0521,258.6703,55.7166,304.4164,0,U,43262,999,44681,.15286E-5,-.41E-6,0
SENTINEL-3B,2018-039A,2026-07-15T04:06:59.118048,14.26736282,.0001135,98.6236,263.3004,119.7364,240.3929,0,U,43437,999,42811,.33813E-4,.38E-6,0
GAOFEN-5 01,2018-043A,2026-07-14T22:38:06.722304,14.60623160,.0002102,98.4590,168.1154,32.5037,327.6292,0,U,43461,999,43574,.35675E-4,.124E-5,0
GAOFEN-6,2018-048A,2026-07-15T04:42:54.897408,14.76382792,.0012099,98.0964,258.8982,81.7179,278.5402,0,U,43484,999,43752,.27387E-4,.138E-5,0
GAOFEN-11 01,2018-063A,2026-07-15T05:14:02.485248,15.56065082,.0003147,97.1279,263.0306,199.2833,160.8304,0,U,43585,999,44470,.94413E-4,.6482E-4,0
ICESAT-2,2018-070A,2026-07-15T04:19:30.057600,15.28177285,.0005695,92.0097,298.5436,59.1010,301.0799,0,U,43613,999,43673,.1898E-3,.5213E-4,0
HYSIS,2018-096A,2026-07-15T03:49:30.490752,14.78672049,.0001828,97.9835,262.6861,84.7663,275.3756,0,U,43719,999,41155,.14557E-3,.1015E-4,0
KAZSTSAT,2018-099AB,2026-07-15T01:11:54.536928,14.99955337,.000737,97.4318,226.7225,341.6349,18.4608,0,U,43783,999,41548,.42847E-4,.476E-5,0
SAUDISAT 5A,2018-102A,2026-07-15T04:33:25.084224,15.28321059,.001043,97.3053,257.2335,43.7379,316.4685,0,U,43831,999,41995,.11261E-3,.3037E-4,0
SAUDISAT 5B,2018-102C,2026-07-15T04:53:58.070976,15.28564255,.0011211,97.3162,260.3680,45.0986,315.1162,0,U,43833,999,42007,.10838E-3,.2942E-4,0
GAOFEN-10R,2019-066A,2026-07-15T03:41:32.755776,14.83057073,.0006882,98.0508,149.9385,53.2639,306.9205,0,U,44622,999,36652,.68384E-4,.502E-5,0
CARTOSAT-3,2019-081A,2026-07-15T03:34:52.546656,15.19187136,.0013019,97.4295,257.5642,59.5036,300.7482,0,U,44804,999,36771,.14731E-3,.3037E-4,0
GAOFEN-12 01,2019-082A,2026-07-15T04:42:20.879136,14.80479512,.0000969,97.8109,201.8372,54.4894,305.6409,0,U,44819,999,35823,.2729E-4,.158E-5,0
CSG-1,2019-092A,2026-07-15T03:15:28.842336,14.82156710,.0001498,97.8896,19.3345,89.9267,270.2118,0,U,44873,999,35561,.25448E-4,.15E-5,0
NEMO-HD,2020-061F,2026-07-15T04:13:54.454080,15.45138603,.0000987,97.1905,257.8545,95.8920,264.2442,0,U,46277,999,32630,.13984E-3,.6536E-4,0
SENTINEL-6A,2020-086A,2026-07-15T00:52:48.103104,12.80930172,.0007784,66.0412,77.2098,269.7720,90.2404,0,U,46984,999,26389,.94152E-4,-.39E-6,0
CAS500-1,2021-022A,2026-07-15T04:05:00.249792,15.20131064,.0005183,97.3867,90.8524,171.0477,189.0851,0,U,47932,999,29501,.16553E-3,.3512E-4,0
GAOFEN-12 02,2021-026A,2026-07-15T05:02:37.022208,14.80316065,.0005844,97.9934,194.2779,132.1820,227.9889,0,U,48079,999,28590,.26476E-4,.149E-5,0
PLEIADES NEO 3,2021-034A,2026-07-15T05:04:41.016576,14.81665536,.0001291,97.8946,270.5748,94.3058,265.8303,0,U,48268,999,28180,-.77173E-4,-.659E-5,0
PLEIADES NEO 4,2021-073E,2026-07-15T04:16:03.126144,14.81674201,.0001353,97.8945,270.5376,95.1057,265.0310,0,U,49070,999,26551,.13407E-3,.1003E-4,0
LANDSAT 9,2021-088A,2026-07-15T03:29:03.889824,14.57095450,.0001139,98.2270,265.9824,88.3470,271.7859,0,U,49260,999,25507,.44309E-4,.154E-5,0
CSG-2,2022-008A,2026-07-15T04:04:02.881920,14.82148577,.0001534,97.8885,19.3617,84.7121,275.4267,0,U,51444,999,24073,-.43878E-4,-.401E-5,0
GAOFEN-12 03,2022-069A,2026-07-15T04:15:15.117984,14.80076171,.0002435,97.8248,83.3381,73.0791,287.0688,0,U,52912,999,21875,.10296E-3,.729E-5,0
SWOT,2022-173A,2026-07-15T03:23:20.869728,14.00172412,.0000258,77.6110,357.5708,77.0480,283.0701,0,U,54754,999,18306,.23488E-4,.32E-6,0
GAOFEN-12 04,2023-123A,2026-07-15T04:43:36.862752,14.79775218,.0003521,97.9101,113.7963,50.5235,309.6287,0,U,57654,999,15677,.64935E-4,.437E-5,0
PARS 1,2024-039Q,2026-07-15T05:03:30.681792,15.46289809,.0009772,97.4837,178.0276,26.9113,333.2641,0,U,59065,999,13297,.13738E-3,.6684E-4,0
RESURS-P 4,2024-061A,2026-07-15T05:09:17.990784,15.32280063,.0003226,97.2759,143.6297,89.5368,270.6244,0,U,59371,999,12805,.55326E-4,.1649E-4,0
LEGION 1,2024-081A,2026-07-15T04:46:40.975968,15.16843583,.0007707,97.5012,273.7590,269.7342,90.3008,0,U,59625,999,12178,.10012E-3,.1903E-4,0
LEGION 2,2024-081B,2026-07-15T03:55:26.563296,15.16822590,.0010219,97.5012,273.8206,233.7756,126.2533,0,U,59626,999,12178,.99893E-4,.1898E-4,0
